Field1,Field2,Field3
5.0 out of 5 stars,Boot,"
  Boot
"
4.0 out of 5 stars,Amazing fit,"
  The pants are comfortable.
"
5.0 out of 5 stars,Comfortable... Nice colour... Look good.. value for money,"
  This is really comfortable... And colour is also cool... Looks sexy..value for money...go for it...
"
1.0 out of 5 stars,Bad,"
  Colour vanished.
"
5.0 out of 5 stars,Good quality material,"
  Wonderful product
"
5.0 out of 5 stars,Simple and great,"
  Great
"
2.0 out of 5 stars,Bad quality,"
  Quality of product is very poor
"
1.0 out of 5 stars,My personal experience,"
  Don't buy this product it's wastage of money. It's to poor quality. Worst
"
1.0 out of 5 stars,Worst quality.. colour shaded in second wash,"
  Worst quality.. colour shaded in second wash
"
1.0 out of 5 stars,Studio Nex Men's regular Jean,"
  Product is very loose fit. Quality of pant is not good. Very poor as compared to what was shown in photo. Comfort wise not up to the mark
"
5.0 out of 5 stars,Fabulous ❤️,"
  Just go for it.Ordered one more!
"
4.0 out of 5 stars,jeans good ruf and tuff pent,"
  jeans color minor differnt but good luk and fir
"
5.0 out of 5 stars,Nice,"
  Nice
"
4.0 out of 5 stars,Excellent value for money can buy,"
  Nice  but bit longer
"
5.0 out of 5 stars,Fantastic product,"
  Product quality and fit are indeed great! Awesome color and cloth texture.
"
5.0 out of 5 stars,Must buy,"
  Awsome jeans same as shown in picture
"
4.0 out of 5 stars,Good,"
  Good
"
1.0 out of 5 stars,Bad product,"
  Colour fad not good quality
"
5.0 out of 5 stars,Good product,"
  Good and softy light weight and rigid
"
5.0 out of 5 stars,Product Super,"
  Good Jeans
"
3.0 out of 5 stars,Overall good,"
  Like
"
4.0 out of 5 stars,Comfortable,"
  I had ordered regular fit but got slim. I wanted stretch material but got stiff.  It's quite an effort to put on/ take off.The other 2 are good
"
1.0 out of 5 stars,I am not happy for this product,"
  Jins is comfort but oder was dark green and send pista green color..... And delivere very late.... So I am not happy for this product
"
1.0 out of 5 stars,Not value for money,"
  The colour faded completely in just one wash and became very weary.Felt cheated and would be more careful next time
"
5.0 out of 5 stars,Good,"
  Nice color and shade.I advise you to check the inseam length of various waist sizes
"
5.0 out of 5 stars,Nice one.....,"
  Comfort...Good quality material....
"
5.0 out of 5 stars,Worth repeating,"
  Value for money
"
5.0 out of 5 stars,Comfy and Worth the Price,"
  Comfy and also very economical. Definitely worth purchasing and using, already shared with friends
"
4.0 out of 5 stars,Recommended.,"
  Good fit worth buying.
"
1.0 out of 5 stars,Bad item,"
  Very very bad quality.. Road side item.... Colour faded in one wash.. Do not know how return.
"
5.0 out of 5 stars,Good,"
  Good 👍
"
3.0 out of 5 stars,Great and cheap Buy,"
  Great offer by the company and amazon !
"
5.0 out of 5 stars,Thanks,"
  Fantastic product thanks for Amazon
"
5.0 out of 5 stars,Nice colour,"
  Amazing product by amazon
"
5.0 out of 5 stars,Excellent,"
  Nice one
"
5.0 out of 5 stars,Recommended,"
  Good quality great fitting
"
5.0 out of 5 stars,Nice service,"
  Value for money spent
"
4.0 out of 5 stars,Ok,"
  Ok
"
5.0 out of 5 stars,Jeans quality is mindlowing,"
  Jeans quality is mindlowing batter then costly brand. fitting is perfect. I ordered 30 ich size and perfect fitting. I ordered 1 jeanse for experiment purpose now i will order 2 studio brand jeanse.
"
5.0 out of 5 stars,good jeans pant,"
  feel comfortable colour is pleasant fitting is good and style is fabulous
"
4.0 out of 5 stars,I like so much. It's exact product that I ordered. Value of money.,"
  I like so much. It's exact product that I ordered. Value of money
"
2.0 out of 5 stars,Just ok,"
  Quality of the material is very poor compare to my previous purchase of the same
"
3.0 out of 5 stars,Okay,"
  Fades a lot and loses colour on every wash
"
5.0 out of 5 stars,like it,"
  good product. I like it
"
4.0 out of 5 stars,Super product,"
  Awesome color,. Best fitting. Just loved it
"
5.0 out of 5 stars,Best product quality,"
  Best product  and price
"
5.0 out of 5 stars,Good worth of money,"
  I purchased last year two worth of it.i am purchased again two this year . Value for money bye it without hesitation.
"
5.0 out of 5 stars,Just buy it,"
  Material is very soft and good you can buy it
"
5.0 out of 5 stars,Thanks for Amazon,"
  Thank Amazon good
"
4.0 out of 5 stars,Medium,"
  Medium
"
4.0 out of 5 stars,Really Good Choice,"
  Excellent... But prices could b a little lower as compared to the quality....the color is not that sparkling but still I luv the product
"
1.0 out of 5 stars,Poor Quality,"
  Entirely  different from picture  showing in the texture and very very poor quality
"
1.0 out of 5 stars,Colour washed out in rain. Poor pathetic product,"
  Waste product. Lost its colour 70% in first wash. Not even a wash, lost the colour in the first rain. Pathetic product.buyers beware. Totally disappointed. I lost 700 rs.
"
4.0 out of 5 stars,Gud,"
  Material is gud, but colour  shown in the pic is diiferent.. Anyway i like it.. 👍😀
"
5.0 out of 5 stars,Awesome,"
  It's really awesome,I bought it for my elder brother.go for it Gooo👍
"
5.0 out of 5 stars,Value for money,"
  Good product from Amazon
"
5.0 out of 5 stars,Very smart,"
  Very smart
"
5.0 out of 5 stars,Studio nexx,"
  Good
"
1.0 out of 5 stars,Amazon should not spoil its prestige,"
  Disgusting quality, will request Amazon not to spoil ur prestige by selling such rubbish clothes just for the sake of earning profit..
"
4.0 out of 5 stars,Nice fitting,"
  Purchased for my dad. Colour came a little lighter than the picture. Fitting is great and nice material.
"
2.0 out of 5 stars,Price range to high,"
  Quality is not such as it's value
"
1.0 out of 5 stars,Short pant,"
  All's fyn,but toooooooooooo short in length
"
1.0 out of 5 stars,Very bad,"
  Dislike
"
5.0 out of 5 stars,Fits very well,"
  Good
"
4.0 out of 5 stars,Bit loose.,"
  Good, but bit loose..
"
4.0 out of 5 stars,Good Product & Very Comfortable.,"
  Good Product.
"
1.0 out of 5 stars,Its too small,"
  The fitting is too small, unable to wear. At bottom its very small, not even going into the leg.
"
5.0 out of 5 stars,Perfect fit and worth the penny,"
  Perfect fit and worth the penny
"
1.0 out of 5 stars,Avoid it.. Fabric and fitting is too poor..,"
  Cheap items below standard .. Do not buy.. Below 300 rs  item sold by Amazon.. Avoid buying
"
4.0 out of 5 stars,Very strechable,"
  Nice and perfect fitting
"
4.0 out of 5 stars,Material is of average quality as per cost,"
  Colour is very nice
"
5.0 out of 5 stars,Good,"
  Good
"
1.0 out of 5 stars,Not good asper cost.,"
  Not good asper cost.
"
4.0 out of 5 stars,Value for money,"
  Good quality
"
1.0 out of 5 stars,Not good,"
  Not interested.
"
4.0 out of 5 stars,Value for money product I am happy to shopping 😀Amazon good products 👌👌👌,"
  super quality 👌👌👌Very good product thank you Amazon
"
2.0 out of 5 stars,Not a good exp.,"
  The item is not as same as picture And The colour is different from picture .
"
5.0 out of 5 stars,Overall good,"
  Little large but it's ok
"
5.0 out of 5 stars,awesome,"
  awesome product for studio nexx
"
1.0 out of 5 stars,Very Bad,"
  Wrong colour delivered
"
3.0 out of 5 stars,Just ok,"
  Not regular fit
"
5.0 out of 5 stars,Superb nice looking very atractive,"
  Awesome ,good comfortable. Nice product👍👌
"
2.0 out of 5 stars,Low quality,"
  Low quality
"
1.0 out of 5 stars,Fake and fade,"
  After washing became fadeI am so upset and not able to return because of time bar.Worse of worst
"
5.0 out of 5 stars,Nice,"
  Worth buying
"
5.0 out of 5 stars,Comfortable value for money,"
  Value for money
"
2.0 out of 5 stars,Jeans,"
  Happy
"
3.0 out of 5 stars,Worth of money,"
  There was a color errotion at only right knee
"
3.0 out of 5 stars,Color varied... improve to delivery original color,"
  Ok.. but color is little bit varied... i am expecting light blue.. but its having dark mix
"
3.0 out of 5 stars,Color,"
  Color of the product is very dim... After a 3 time usage color fades away... Waste of money
"
1.0 out of 5 stars,Bad,"
  Bad
"
3.0 out of 5 stars,Average level product,"
  The size of front pocket is small.It should be some deep in size.
"
5.0 out of 5 stars,Good,"
  Like it
"
2.0 out of 5 stars,Not recommended,"
  Fitting & stitching is good.But fabric is el chepo,  from a distance of 10 feet u can't say its a jeans pant.
"
5.0 out of 5 stars,Good,"
  Good
"
5.0 out of 5 stars,Value for money,"
  Comfortable,soft stretchable. Go for it
"
1.0 out of 5 stars,"Product is good and very comfortable, but stitching quality is pathetic.",
5.0 out of 5 stars,Very nice product and quality,"
  Very nice product and it is fitted very well. So I have placed another order with different colour. In this price range this quality of products are awasome.
"
4.0 out of 5 stars,Ok,"
  Good stiching
"
5.0 out of 5 stars,Very good,"
  Nice and welfit
"
5.0 out of 5 stars,Five star,"
  Good
"
5.0 out of 5 stars,good,"
  nice fitting
"
1.0 out of 5 stars,Good,"
  Thik
"
4.0 out of 5 stars,God,"
  Good
"
5.0 out of 5 stars,Fine,"
  Ok
"
3.0 out of 5 stars,color problem,"
  color start to fade away after 3 4 wash which is very bad. otherwise material quality is awesome.Fitting is nice
"
4.0 out of 5 stars,Satisfied with the product,"
  Good fit. Soft and stretchable. Feeling comfortable
"
1.0 out of 5 stars,Bed quality,"
  Bed
"
1.0 out of 5 stars,Waste of money,"
  2nd wash original color????So pl don't ... Use table clean..
"
5.0 out of 5 stars,Very good,"
  Value for price
"
3.0 out of 5 stars,"When u wear it, it's too hot due to rough material","
  Product is good and size wise also perfect but the quality of cloth is not good
"
3.0 out of 5 stars,Good,"
  Good
"
2.0 out of 5 stars,Less worth,"
  Colour is too dull
"
2.0 out of 5 stars,Cheap quality,"
  Product of very cheap quality,faded in 2 washes itself
"
5.0 out of 5 stars,Very nice one,"
  It's very good. Clothing material is good. Liked it very much
"
2.0 out of 5 stars,Plz don't buy it it's just a wastage of money 💰,"
  It's too much stretchable plz don't buy this I remember it's just waste of money.
"
1.0 out of 5 stars,Wrong colour,"
  Already reviewed about this got wrong colour
"
1.0 out of 5 stars,Worst product after one wash,"
  Color gone after one wash
"
5.0 out of 5 stars,Full on comfort,"
  Really very good denim and color is also good
"
1.0 out of 5 stars,Bad,"
  Very very bad cloth
"
3.0 out of 5 stars,Average,"
  So so
"
1.0 out of 5 stars,Not fitted properly,"
  It is 2 big & colour is not same as shown in d picture..
"
1.0 out of 5 stars,Don't Purchase,"
  The color faded after first wash
"
1.0 out of 5 stars,Bad produ,"
  Very bad product
"
5.0 out of 5 stars,Super,"
  Super good
"
5.0 out of 5 stars,Cool 😎,"
  Good
"
5.0 out of 5 stars,Good,"
  Good
"
5.0 out of 5 stars,Overall  item good,"
  I need  next size I have 32 I need 34  place
"
5.0 out of 5 stars,Excellent,"
  Comfort
"
5.0 out of 5 stars,Everything about the product was good except as mentioned,"
  Length of the jeans was short as per the waist size 40 at least 2 to 3 inches
"
5.0 out of 5 stars,Very  nice,"
  Super
"
1.0 out of 5 stars,Wrost product,"
  Wrost productColour different
"
1.0 out of 5 stars,After washing colour is Fed,"
  Kindly return my order
"
3.0 out of 5 stars,Product quality not so good,"
  Product quality is not so good
"
1.0 out of 5 stars,WRONG MEASURMENT,"
  MEASURMENT TAG MENTIONS SIZE 32 BUT IN REALITY THE ACTUAL SIZE IS 34
"
5.0 out of 5 stars,Nice product.,"
  Thank you amazon for this wonderful experience... Nice product and also delivered early...good one happy to give nice feedback 10/10...
"
1.0 out of 5 stars,Bad,"
  Denim is very low category. Colour is not as shown in picture. Too light colour. I am not happy with the product.
"
4.0 out of 5 stars,Good quality,"
  Fit as expected
"
1.0 out of 5 stars,Color faded in first wash itself,"
  Didn't like the product.color faded after first wash
"
5.0 out of 5 stars,Good,"
  Good
"
4.0 out of 5 stars,I order size 34  and it is 35 in size,"
  I order size 34 and it is 35 in size,but it is ok.
"
5.0 out of 5 stars,Very nice product as my wish,"
  Very nice colour and fitting as per order , thanks Amazon 😄
"
3.0 out of 5 stars,Nice product at this cost,"
  Not a party wear product, instead fit for regular usage.
"
2.0 out of 5 stars,"Not good product, stocked material","
  Low quality, I dislike it.
"
1.0 out of 5 stars,Meterial quality poor 3rd quality,"
  Poor quality
"
1.0 out of 5 stars,size issue,"
  too large with expandible
"
1.0 out of 5 stars,colour wash out within a month,"
  bad product
"
5.0 out of 5 stars,good,"
  good
"
5.0 out of 5 stars,Good Quality and perfect fit,"
  nice fit
"
5.0 out of 5 stars,Very nice product,"
  I love this product in low cost.
"
1.0 out of 5 stars,Improvement in quality and size,"
  So long and open this product is not fit me
"
4.0 out of 5 stars,Good product,"
  Good product,,,,,, must buy undoubtedly
"
1.0 out of 5 stars,Waste of money,"
  Material is too cheap... Not at all worthy ...
"
4.0 out of 5 stars,Jeans,"
  Material of clothe is really nice
"
4.0 out of 5 stars,Nice product,"
  Nice quality product, comfortable, stretch is good, good fit.
"
5.0 out of 5 stars,nyc,"
  comfort
"
3.0 out of 5 stars,Value for money,"
  Normal
"
4.0 out of 5 stars,Must buy,"
  Good
"
1.0 out of 5 stars,Worsted,"
  Show the one colour and send another colour
"
5.0 out of 5 stars,Fabric of this jeans,"
  Value for money
"
